"Scenario_1","Scenario_2","Scenario_3","Scenario_4","Scenario_5","Scenario_6","Scenario_7","Scenario_8","Scenario_9","Scenario_10","Date"
250.74789764033,459.324357246639,435.550563989406,-124.766489513692,118.544906039245,-88.8982136227218,165.546630714666,285.060105483064,211.312523340082,167.610064550211,2024-10-18 05:00:00
255.85154765047,457.144599449523,437.475248039163,-126.610382669403,130.827113919749,-84.7809858162341,170.861413215156,289.961162028198,213.895256857006,180.101106326349,2024-10-18 06:00:00
248.906946657563,463.903909172182,441.303277294612,-107.427141071559,144.461903403437,-55.0980908240998,176.404317317032,288.902780997132,224.736613631447,200.371073596837,2024-10-18 07:00:00
251.770584203451,464.315901679422,444.686539013623,-101.631081320939,145.626012865103,-53.6045329922235,170.61002751466,296.000891313875,231.242825960112,201.615490354417,2024-10-18 08:00:00
240.934355750199,457.651958127135,437.015263826138,-111.465531973701,117.257976222701,-90.734416602829,158.983854725414,288.657122081189,204.700676344586,188.526321335321,2024-10-18 09:00:00
233.935998100092,458.829980987331,433.01285738917,-120.602704319949,101.74855968874,-104.656225927441,142.42520930755,277.260820381789,194.843462682561,178.685890043264,2024-10-18 10:00:00
227.449333630589,456.288021421808,423.89584829002,-132.041997923832,96.9110368489135,-118.317691131889,143.809033634717,269.735513816729,184.425313363355,163.2958502448,2024-10-18 11:00:00
230.627840593164,453.117350507094,423.403466056084,-129.249366675601,85.3383551207773,-107.856026025091,125.691822125305,264.032493563788,180.588260180924,146.418501549705,2024-10-18 12:00:00
232.996289044574,451.044760279821,424.980655365468,-132.644889228426,101.079353651649,-121.995362208062,127.394370716892,257.705800125014,177.602526189079,142.404866445534,2024-10-18 13:00:00
231.541626516024,452.647094910241,417.542155715383,-128.900562980666,103.587656459188,-120.820459665771,124.060079553101,248.601147582398,174.612483935403,141.736388175696,2024-10-18 14:00:00
234.753497410236,450.672487644055,416.263162577773,-130.477213144819,102.464534740832,-130.503848316126,118.898911698505,252.327661677883,173.376269182476,136.597860741393,2024-10-18 15:00:00
230.409421580916,452.193863114423,419.294460066757,-126.388261829123,88.2708893653402,-135.365104790608,114.584587040064,249.252837511648,185.440072423687,126.498187023724,2024-10-18 16:00:00
231.168527683739,451.954803452683,427.467350162859,-126.034438693012,89.342891946671,-114.783798689562,126.081529387181,257.674662782615,188.98296726701,133.242387935245,2024-10-18 17:00:00
251.989144659688,457.525201012671,430.928437224212,-117.529768135968,113.569293793976,-88.9983875355341,145.568827699043,266.573666502735,188.892825280972,154.572113794046,2024-10-18 18:00:00
268.589810829966,472.234911516539,442.144310810439,-101.933563283585,137.971607203896,-76.1346683013425,169.672932994232,274.8201424846,213.761823064522,178.837732404776,2024-10-18 19:00:00
291.944238664746,480.970719463583,459.250200846786,-83.1336559972863,158.491699909821,-67.0641235526133,180.596852494125,285.932781828989,236.548028972745,205.123388906772,2024-10-18 20:00:00
288.58184127994,486.849446400875,466.108867428102,-71.4010089905008,165.489282495891,-63.4168329252679,192.454706534043,285.08600263341,233.138979415905,205.056596934815,2024-10-18 21:00:00
271.193529499333,477.507484800069,455.608917962903,-102.101406599407,150.651051084779,-99.7452614830393,173.845132623616,283.189460471616,227.478520780066,188.576529762087,2024-10-18 22:00:00
268.41934596742,470.49437929621,458.303074334269,-113.418683542975,149.045309665029,-106.694107313403,162.662124676729,287.14687634555,225.062258084881,200.535735413312,2024-10-18 23:00:00
265.3338131814,470.239014641911,457.732174004457,-100.126000028081,137.406230874182,-111.843802404534,164.306934728078,296.033281550317,211.437924029565,200.353768247684,2024-10-19 00:00:00
258.256291271017,469.239689855144,454.912133335741,-94.5421765332384,136.993027477002,-132.112196762112,162.432103245258,302.749502628697,205.186134816268,192.739955439355,2024-10-19 01:00:00
257.78404380551,473.864954237628,454.501965486369,-78.8841255611284,136.412447278129,-136.02972707631,160.772108189115,307.942307552889,202.395383960761,181.776209479853,2024-10-19 02:00:00
252.199214271456,474.740987458237,460.419147706867,-59.8124241020587,137.413849388236,-144.143673742909,151.41060490875,312.093936605319,199.250253730987,172.715817762017,2024-10-19 03:00:00
256.196390337315,473.801483458931,472.54936446859,-73.6697247847206,123.865663522926,-140.293233514545,158.070825800138,308.276324018507,200.891904833447,177.78024748532,2024-10-19 04:00:00
264.905758344584,475.421207716516,468.862988547875,-81.1613768792735,118.406650656104,-141.94984506384,167.052958955457,309.505002360397,210.483393550388,177.7845336836,2024-10-19 05:00:00
261.482452574898,472.449741386115,469.122703293921,-92.5139667523925,128.618929228288,-138.997214206109,174.110331025767,308.529101604715,212.956092068333,186.469480475285,2024-10-19 06:00:00
270.065361841175,477.522870778132,475.408566187515,-69.1628010404093,143.049142820436,-111.513798230011,187.073637418063,309.526608146467,225.041472102128,199.121602531712,2024-10-19 07:00:00
268.302644875543,480.863682990093,475.247790141532,-38.8259394992186,142.952126349628,-91.8624443360344,179.199705179616,310.161983212769,233.127017485155,192.503571795796,2024-10-19 08:00:00
257.657979560992,470.397082091303,461.562721941311,-74.3696499309536,118.948845254568,-115.957635549453,172.036525257064,294.469991293065,215.202768498017,167.517156987735,2024-10-19 09:00:00
253.089677779458,466.626893916488,459.375916092724,-102.268298247138,79.4272573285557,-127.984001220947,159.383259644021,288.822278754122,201.225276991549,149.505293750974,2024-10-19 10:00:00
246.776962505152,463.904925453886,452.639683750812,-106.945871917593,77.1378278238394,-125.453230615417,153.600221848626,286.81177553031,194.152946232872,138.916506062446,2024-10-19 11:00:00
241.157085422529,459.541342129801,451.554897731808,-122.370776280785,57.5418750957019,-127.81886294163,146.682806428816,284.203725712022,182.282040250378,125.369456282088,2024-10-19 12:00:00
241.944877110602,451.561455957304,456.651696456875,-112.401384484574,63.0133572008667,-140.206230776545,141.170353712107,282.53087108562,178.371734212389,116.260668285873,2024-10-19 13:00:00
243.242362837397,453.408237688988,457.182690576542,-106.161319178057,74.9547848879506,-133.976195374737,137.716115971801,283.648186717364,182.730780099386,116.476678200882,2024-10-19 14:00:00
245.849604072101,454.603428981451,451.938718670945,-124.403509571133,71.5035444834395,-144.317596925072,142.489912159702,287.019193269814,176.789518711531,106.604936230814,2024-10-19 15:00:00
234.720398668398,451.237715776503,458.194948954803,-119.295863893297,76.3481946461819,-147.907410518502,151.031918252804,285.872225838601,176.655125097918,107.537989191055,2024-10-19 16:00:00
229.231277640632,458.074912226489,461.575872328247,-115.626462538029,80.697291959094,-139.120107697382,168.124827450211,283.718113217205,175.627648334209,110.896785678885,2024-10-19 17:00:00
248.555257563769,467.160137540503,462.988937336689,-117.549689576632,102.986206602866,-127.089994688548,179.102252669054,287.223884774156,184.625105674948,123.494655206028,2024-10-19 18:00:00
269.920348343627,482.888395745334,479.56296337978,-93.6488155094591,119.649926557575,-127.531777261969,194.803202931301,296.916249590706,212.745310995451,146.097718924924,2024-10-19 19:00:00
