"Scenario_1","Scenario_2","Scenario_3","Scenario_4","Scenario_5","Scenario_6","Scenario_7","Scenario_8","Scenario_9","Scenario_10","Scenario_11","Scenario_12","Scenario_13","Scenario_14","Scenario_15","Scenario_16","Scenario_17","Scenario_18","Scenario_19","Scenario_20","Date"
341.571587732612,533.4882985181,626.768543985831,-211.681121489769,163.638216573335,-258.504795966194,59.2325431723253,380.002177596147,154.458702245754,110.62708832853,512.881371563518,267.195963380295,151.34786974706,-238.070977014099,468.395610796876,438.329596403166,-177.782424836732,-582.860532947312,451.523962457086,377.392054399101,2024-10-27 05:00:00
344.62963452062,534.419270579744,629.06849137089,-206.168058546374,167.310167642988,-258.363753913383,76.4258722822078,387.012859158643,160.111891539126,113.377566690665,509.568284260397,277.84488171419,163.425436607448,-229.002057183028,465.836845748782,446.621013789357,-180.890948915773,-582.420240585429,456.174234437193,374.737653374547,2024-10-27 06:00:00
340.44803186157,537.301578440284,632.47473765537,-195.290470264775,174.022882410785,-240.790622068819,68.0783850888255,392.108834954381,177.013273305936,126.368766694718,516.942732901343,291.642483663414,172.254532298397,-214.980979954373,469.003611258441,459.130933350908,-178.720474984051,-576.931630669956,458.394185485282,371.970558844808,2024-10-27 07:00:00
344.714092276637,536.114171606801,629.396034845974,-190.954289932345,176.1578808874,-231.376307285983,56.608329080655,402.320841560147,187.041603002558,127.40021787175,519.987427860836,290.859448849429,167.76610420421,-214.769893141651,470.12436671691,458.560291453096,-181.656507949121,-575.691178222714,451.244620304975,373.908497559622,2024-10-27 08:00:00
335.754470585151,528.356612966993,616.856136814576,-203.065915878928,160.981031214743,-248.032483739624,-17.2170228182937,395.827801666194,171.237207781864,103.929819201179,506.555502740352,289.497913496039,157.719111126355,-222.233855002908,464.510634284028,446.47056669159,-194.114820580529,-585.612791929677,441.163427113145,362.048010562756,2024-10-27 09:00:00
322.245542771177,526.097861904844,613.88783512913,-214.214177437644,127.38395872804,-254.500415172555,-42.6375255646928,385.230525776941,152.474390645567,92.7901454058029,492.750105803834,280.108858214166,151.483862135961,-236.689156050341,460.159180627528,437.035607795286,-209.554184262984,-588.677530815882,428.977585543445,357.449438711835,2024-10-27 10:00:00
309.761278938648,528.653240946168,606.155124633937,-227.608921353277,126.310585070134,-265.396293330618,-67.3273737768249,386.306707351615,147.479399339367,92.3415353442749,492.770813089085,274.482437832029,147.923119690857,-249.176081464052,451.506455618107,434.635515274039,-213.711238293445,-594.24565982105,425.894514721863,348.085394238713,2024-10-27 11:00:00
307.407242488068,526.568610225562,607.594329975267,-236.097838465076,125.613349428383,-264.199236558649,-64.8511433778139,383.320659148757,136.482203026411,79.6278281570101,492.005344374151,267.601249239765,152.010646257831,-253.559305216185,449.577944741453,435.550696533297,-213.242077210023,-598.459051536416,422.320294664752,341.130467161031,2024-10-27 12:00:00
311.67223584153,518.67762327459,604.576315580241,-236.295310395123,132.546704490213,-266.914844359086,-69.0996195743885,382.184976085455,128.384062821769,80.7587659960266,494.997818041787,263.441626693493,145.149036541458,-255.553067164327,451.125754138694,438.337415902793,-217.658929791607,-593.38613754781,422.723706726965,337.225363786915,2024-10-27 13:00:00
313.859580787257,517.420394051375,599.909875604896,-237.336036192763,127.587069023087,-271.812475047691,-75.2779325624997,367.610625399657,136.720890529956,86.2696020164775,495.286629568347,259.774422400932,128.068338561812,-250.709215156959,459.777547428309,445.923332581773,-221.84313416723,-590.167956809738,421.755804925129,333.158953778692,2024-10-27 14:00:00
